RecipeId,ReadyInMinutes,Servings,Vegetarian,Vegan,GlutenFree,DairyFree,Healthy,Cheap,Popular,CookingMinutes,PreparationMinutes,IngredientCount,HealthScore,PricePerServing,Calories,FatContent,SaturatedFatContent,CarbohydrateContent,SugarContent,FiberContent,ProteinContent,SodiumContent,CholesterolContent,Cuisine_European,Cuisine_Mediterranean,Cuisine_Asian,Cuisine_Mexican,Cuisine_Italian,Cuisine_American,Cuisine_Indian,Cuisine_Middle Eastern,Cuisine_French,Cuisine_Greek,DishType_lunch,DishType_main course,DishType_main dish,DishType_dinner,DishType_side dish,DishType_antipasti,DishType_starter,DishType_snack,DishType_appetizer,DishType_antipasto,TotalTime,PrepCookRatio,CaloriesPerServing,ProteinRatio,FatRatio,CarbRatio,IngredientPerMinute,InstructionLength,IngredientLength,UniqueIngredientCount,Has_olive oil,Has_onion,Has_garlic,Has_salt,Has_bell pepper,Has_salt and pepper,Has_pepper,Has_water,Has_parsley,Has_lemon juice,Has_garlic cloves,Has_carrots,Has_butter,Has_cilantro,Has_tomatoes,Has_oregano,Has_thyme,Has_soy sauce,Has_extra virgin olive oil,Has_canned tomatoes
656635,45.0,6.0,1,0,1,1,0,0,0,25.0,10.0,13.0,31.0,200.65,276.36,6.14,0.81,45.63,11.91,9.58,11.99,1374.27,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,46.06,4.322901644072685,2.213729449091433,16.451543120853763,0.3611111111111111,0,131,13,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
661460,25.0,4.0,0,0,0,0,0,0,0,25.0,10.0,10.0,33.0,408.99,349.87,18.7,4.88,6.89,3.83,0.28,36.64,330.59,106.79,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,87.4675,10.442614073588508,5.329609256989768,1.9636902556502407,0.2777777777777778,0,114,10,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
661059,45.0,6.0,0,0,0,0,0,0,0,25.0,10.0,16.0,28.0,181.48,397.68,22.99,7.55,37.94,5.12,6.46,13.71,803.68,54.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.0,0.38461538461538464,66.28,3.4388481990568875,5.766529547506772,9.516404133641014,0.4444444444444444,0,189,16,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
656820,45.0,12.0,0,0,1,0,0,0,0,25.0,10.0,16.0,30.0,145.89,260.39,11.99,3.38,10.01,5.04,2.8,25.97,1553.13,78.08,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,21.699166666666667,9.935345652090746,4.587015570603313,3.8295267607789127,0.4444444444444444,0,213,16,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
654663,45.0,2.0,0,0,0,0,0,0,0,25.0,10.0,11.0,16.0,264.18,829.04,63.94,24.65,20.91,2.12,1.33,40.84,1158.33,252.41,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,414.52,4.9202448074791585,7.703243217194353,2.5191557033395986,0.3055555555555556,0,131,11,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
664144,45.0,4.0,1,1,0,1,0,0,0,25.0,10.0,11.0,32.0,297.21,351.95,9.93,1.43,54.98,32.69,5.1,5.77,761.34,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.0,0.38461538461538464,87.9875,1.6347924635217452,2.813429664258394,15.577277234735798,0.3055555555555556,0,134,11,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
649507,45.0,4.0,0,0,0,1,0,0,0,25.0,10.0,7.0,27.0,38.69,181.52,2.72,0.41,33.35,1.56,1.57,5.77,150.33,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,35.0,0.38461538461538464,45.38,3.1612973920666225,1.490247644093798,18.271970195047118,0.19444444444444445,0,81,7,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1697565,45.0,4.0,0,0,1,1,0,0,0,25.0,10.0,9.0,51.0,652.44,567.21,26.91,7.3,4.01,0.17,1.26,74.04,1967.53,228.51,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,141.8025,13.030393692472853,4.735925098115133,0.7057249960401963,0.25,0,100,9,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
646565,45.0,8.0,0,0,1,0,0,0,0,25.0,10.0,25.0,38.0,332.96,421.76,20.64,2.91,41.75,9.13,15.17,24.43,1354.13,49.92,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,52.72,5.778692402308638,4.882202668180528,9.87557952502602,0.6944444444444444,0,297,24,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1
633820,45.0,4.0,1,0,1,0,0,0,0,25.0,10.0,14.0,30.0,160.36,378.92,22.29,8.01,34.77,6.14,6.57,13.62,491.11,111.01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,94.73,3.584965255843335,5.867024636765635,9.151926721415036,0.3888888888888889,0,135,13,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
